full_address,latitude,longitude,total_leasedSF,company_list,sector_list,lease_count
"37 W 57th St, New York, NY, 10019",40.7640801,-73.9759651,6539,NA; NA; NA,NA,3
"37-39 W 17th St, New York, NY, 10011",40.7385976,-73.9938471,7500,NA; Knotel; NA,NA; Coworking And Executive Suite Companies,3
"37-43 W 26th St, New York, NY, 10010",40.7435557,-73.9884015,39274,NA; NA; NA; NA; NA; NA; Skin Therapy; NA; United Scenic Artists Local Usa 829; NA; NA; NA; NA; NA; NA; NA; Idesco; NA; NA,"NA; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",19
"37-45 W 20th St, New York, NY, 10011",40.7409528,-73.9939827,70626,"Dr. Jane E. Marke,; NA; NA; Sarah Flint Showroom; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA",NA,30
"370 Lexington Ave, New York, NY, 10017",40.7509194,-73.9771424,149497,NA; NA; NA; NA; NA; NA; Madison Avenue Eyecare; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Abacus; Atlas Technica; NA; Proactive Technologies; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Canela Media; Canela Media; Paragon,"NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Technology, Advertising, Media, And Information; Healthcare",66
"373 Park Ave S, New York, NY, 10016",40.7422679,-73.9846255,96052,NA; Simplebet; Launchsquad; Simplebet; Mount Sinai; Aegis Venture Partners; NA; Aegis Venture Partners; NA; NA,"NA; Personal Services And Recreation; Technology, Advertising, Media, And Information; Healthcare; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Financial Services And Insurance",10
"375 Hudson St, New York, NY, 10014",40.7284863,-74.0079039,977265,Publicis,"Technology, Advertising, Media, And Information",1
"375 Park Ave, New York, NY, 10152",40.7584072,-73.9719841,945071,NA; Mic Capital; NA; NA; Arbor Realty Trust; NA; Temasek; Advent International; NA; NA; NA; Temasek; NA; NA; Aragon Global Management; Clayton Dubilier & Rice; NA; Sound Point Capital Management; Blue Owl Capital; NA; NA; NA; NA; NA; Churchill Asset Management; Windrose Health Investors; Blue Owl Capital; Entrust Global; Freestone Grove Partners; NA; NA; NA; Ehrenkranz Partners; Investindustrial; Capvest; Confidential; Strategic Value Partners - Svp Global; Thoma Bravo; NA; Blue Owl Capital; NA; Svb Securities,NA; Financial Services And Insurance; Real Estate (Except Coworking Providers); Tbd; Government,42
"375 Pearl St, New York, NY, 10038",40.7108757,-74.0011842,142550,Rafael Viñoly Architects; New York Police Department,"Construction, Engineering And Architecture; Government",2
"375 W Broadway, New York, NY, 10012",40.7235788,-74.0025799,14563,NA,NA,1
"377 Broadway, New York, NY, 10013",40.7179764,-74.0032721,8000,NA,NA,1
"379 W Broadway, New York, NY, 10012",40.7237069,-74.0024706,842,NA,NA,1
"38 E 29th St, New York, NY, 10016",40.7440708,-73.9844559,46631,NA; Knotel; NA; NA; NA; NA; NA; NA,NA; Coworking And Executive Suite Companies,8
"38 Greene St, New York, NY, 10013",40.7216512,-74.001951,68400,FIVERR; NA; Openweb; Dydx; NA; Foundrae,"Technology, Advertising, Media, And Information; NA; Tbd; Retail",6
"38 W 21st St, New York, NY, 10010",40.7409381,-73.9926496,14000,Leagueapps; NA,NA,2
"38-40 W 32nd St, New York, NY, 10001",40.7489806,-73.9898211,6650,Yuan's Acupuncture And Herbs; NA; NA; NA; NA; NA; NA; NA; NA,NA,9
"381 Park Ave S, New York, NY, 10016",40.7422922,-73.9841973,199209,NA; 21GRAMS; 368 Third Owners; NA; NA; NA; NA; NA; Betty Buzz; Caudalie; NA; Applico; Editorialist; Fgs Design; NA; Dellaverson Pc; NA; NA; 21GRAMS; NA; N Tier Financial Services; Sbr Wovens; NA; Forefront Communication Group; Goldstein Rikon Rikon & Houghton; NA; Sbr Wovens; Funny Faces Today; NA; NA; NA; NA; Fgs Design; Two Sticks; Valerio Architects; NA; NA; NA; NA; NA; NA; Stephen B Jacobs Group Pc; Beqom North America; Secretariat Advisors; NA; Sepp Leaf Products; Valerio Architects; NA,"NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Technology, Advertising, Media, And Information; Tbd; Construction, Engineering And Architecture; Legal Services; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech)",48
"385 9th Ave, New York, NY, 10001",40.7510141,-73.9981563,1643016,D. E. Shaw & Co. L.p; PGIM RE; Crowell & Moring; Clifford Chance; KPMG; D. E. Shaw & Co. L.p; Bbva (Banco Bilbao Vizcaya Argentaria); NA; Cravath Swaine & Moore; NA; NA,"Financial Services And Insurance; Legal Services; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; NA; Unclassifiable",11
"385 Fifth Ave, New York, NY, 10016",40.9167105,-73.8071101,92750,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Wework; NA; NA; NA; Villas & Apartments Abroad; NA; NA; NA; NA,NA; Coworking And Executive Suite Companies; Real Estate (Except Coworking Providers),44
"386 Park Ave S, New York, NY, 10016",40.7429095,-73.9846081,91864,NA; NA; IPG; Global Industries Development; NA; Crunch,"NA; Tbd; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Real Estate (Except Coworking Providers); Personal Services And Recreation",6
"387 Park Ave S, New York, NY, 10016",40.7427197,-73.9839698,164557,NA; NA; Svb Financial Group; Amenity Analytics; Deutsch Inc (Ipg); NA; The Malin; Yby Computers; NA; NA; NA; Criteo Sa; NA; NA,"NA; Financial Services And Insurance; Technology, Advertising, Media, And Information; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Coworking And Executive Suite Companies",14
"389 Fifth Ave, New York, NY, 10016",40.9167746,-73.8070785,46036,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA,20
"39 Broadway, New York, NY, 10006",40.7062326,-74.0132146,141167,"NA; Smith Mazure,; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; New York Cares; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA",NA; Legal Services; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals),33
"39 Clarkson St, New York, NY, 10014",40.7296277,-74.0075035,36282,Talkiatry; NA; NA,Healthcare; NA,3
"39 W 19th St, New York, NY, 10011",40.7401528,-73.9933727,43515,NA; Z G F Architects; Left Right,"NA; Construction, Engineering And Architecture; Technology, Advertising, Media, And Information",3
"39 W 32nd St, New York, NY, 10001",40.7481658,-73.9873042,6848,NA; Gma Management; Gma Management; NA; NA; Slim Herbal Beauty,"NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",6
"39-41 W 38th St, New York, NY, 10018",40.7580249,-73.9995163,26952,NA; NA; NA; NA; NA; NA; Architect; NA; NA,NA,9
"39-43 W 37th St, New York, NY, 10018",40.7567903,-73.9984582,32075,NA; NA; NA; NA; NA; NA; NA; City Outdoor,NA,8
"390 5th Ave, New York, NY, 10018",40.7498288,-73.9841908,137035,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Zorlu Usa; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Geneva Home Furnishings; NA; NA; NA; NA; NA; NA; NA; NA; NA; Keeco; Indo Count Industries,"NA; Retail; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech)",46
"390 Madison Ave, New York, NY, 10017",40.7002005,-73.6541988,501842,JP Morgan; Barnes & Thornburg; Effy Jewelry,Financial Services And Insurance; Legal Services; Retail,3
"390 Ninth Ave, New York, NY, 10001",40.9158174,-73.8034584,730000,Meta,"Technology, Advertising, Media, And Information",1
"390 Park Ave, New York, NY, 10022",40.7595773,-73.972688,157377,NA; Northern Trust; Tiger Management; NA; Quantum Energy; NA; One Investment Management; Westpac Banking; NA; Atairos Capital,NA; Financial Services And Insurance; Energy & Utilities,10
"393-399 Lafayette St, New York, NY, 10003",40.7284769,-73.992624,65850,NA; Genius Sports; The Orchard,"NA; Technology, Advertising, Media, And Information",3
"394 Broadway, New York, NY, 10013",40.7184121,-74.0025352,12000,NA; NA,Tbd; Unclassifiable,2
"395 Hudson St, New York, NY, 10014",40.7292047,-74.0077866,53053,Hap Capital Advisors; Dv Trading; Dv Trading,Financial Services And Insurance,3
"399 Park Ave, New York, NY, 10022",40.7589833,-73.9714789,863644,Owl Rock Capital Partners; Brigade Capital Management; Bentallgreenoak; Lexington Partners; Capital Group; NA; Millennium Management; Owl Rock Capital Partners; NA; NA; NA; NA; Blue Owl Capital; Moelis; Polygon Global Partners; Worldquant; Capital Group; Millennium Management; Brigade Capital; First Manhattan; Hertog Family Office,Financial Services And Insurance; Real Estate (Except Coworking Providers); NA; Tbd; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals),21
"4 Bryant Park, New York, NY, 10018",40.925115,-73.8897352,117038,David Peyser Sportswear; Tommy Bahama; Turnbridge Real Estate Fund; Tommy Bahama; NA; Deepintent; NA; NA; NA; David Peyser Sportswear,"Retail; NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",10
"4 Columbus Cir, New York, NY, 10019",40.7675105,-73.9829426,74505,New Hope Fertility Clinic,Healthcare,1
"4 Manhattan West, New York, NY, 10001",40.7527046,-73.9986629,37584,NA; NA; NA,Tbd; NA,3
"4 Park Ave, New York, NY, 10016",40.746628,-73.9820041,51393,Suny Empire State College; NA,Education; NA,2
"4 World Trade Center, New York, NY, 10280",40.7102861,-74.011985,554943,Rippling; Duolingo; NA; NA; Spotify; Remarkable Foods; NA; NA; NA; Stubhub; Digital Asset; Clear Street; NA,"Technology, Advertising, Media, And Information; Education; NA; Retail; Unclassifiable",13
"40 Broad St, New York, NY, 10004",40.7059776,-74.0115846,6369,NA; NA,NA,2
"40 Crosby St, New York, NY, 10013",40.7211039,-73.9994125,22637,POSH VIP; NA,NA; Unclassifiable,2
"40 E 52nd St, New York, NY, 10022",40.7585317,-73.9740692,14957,National Bank Of Egypt,Financial Services And Insurance,1
"40 Exchange Pl, New York, NY, 10005",40.7057064,-74.0099963,291281,Crime Victims Treatment Center; NA; Wolf-Kasteler Pr; NA; NA; NA; NA; NA; Wow Payments; NA; NA; New York City Osteopathy; Multicultural Radio Broadcasting; NA; NA; NA; NA; NA; NA; NA; A360 Media; NA; NA; NA; The Epilepsy Foundation Of Metro New York; Dovetail Investment Group; NA; Etihad Airways; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Loyalkaspar; NA; NA; NA; NA; NA; NA; Affinity Capital Exchange; Mobilo; NA; NA; NAPNAP; Soho Men’s Health; Loyalkaspar; Mobilo; Z & L I Wellness & Acupuncture; NA; NA,"Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); NA; Financial Services And Insurance; Healthcare; Technology, Advertising, Media, And Information; Transportation",59
"40 Fulton St, New York, NY, 10038",40.7078745,-74.0047387,147158,NA; NA; NA; NA; Seaport Capital; Old Republic Construction Program; Primal Base; NA; Terri & Sandy; Helbraun Levy; Gard North America; NA; NA; Cooper Robinson; Gerspach Sikoscow; NA; Safety National Casualty; NA; Carrier; DKMS; Csg Capital Partners; NA; NA,"NA; Financial Services And Insurance; Coworking And Executive Suite Companies; Technology, Advertising, Media, And Information; Legal Services; Construction, Engineering And Architecture; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",23
"40 Tenth Ave, New York, NY, 10014",43.062392,-74.3429307,98475,Starwood Capital Group; Rtw Investments; Westcap Group; Rtw Investments; Checkout.com; Stripes Group,"Financial Services And Insurance; Technology, Advertising, Media, And Information",6
"40 W 25th St, New York, NY, 10010",40.743604500000004,-73.9910607,44000,NA; NA; NA; NA,NA; Tbd,4
"40 W 57th St, New York, NY, 10019",40.7636059,-73.9758803,611729,NA; Access Industries; NA; NA; NA; Dealpath; NA; Lightyear Capital; Givaudan Fragrances; Duquesne Family Office; Hps Investment Partners; NA; NA; NA; Elliot Management; NA; Pointstate Capital; Vf Brands; Atria; A&E Real Estate; Darsana Capital Partners; Elmwood Asset Management; Access Industries; Eisner; Pointstate Capital; Repe Capital Partners; Loro Piana; Two Creeks Capital,"NA; Financial Services And Insurance; Technology, Advertising, Media, And Information; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech); Retail; Real Estate (Except Coworking Providers); Legal Services",28
"40 Wall St, New York, NY, 10005",40.7070219,-74.0096669,437514,"Katz & Rychik Pc; Office Links; Infinitude; Trump Organization; Bennett Bricklin & Saltzburg; NA; NA; Liakas Law, Pc; Leslie E. Robertson Associates [Lera]; Dy Consultants; NA; Nfp; Derive Technologies; Katz & Rychik Pc; Unified Capital; NA; Ki Legal; NA; NA; NA; NA; NA; NA; NA; NA; NA; Jay Suites; Bay Crest Partners; NA; Paulson Investment; Trump Organization; NA; Gts Group Us; NA; NA; Jay Suites; Liakas Law, Pc; Rk Law,; N Cheng &; NA; NA; Gjelaj Law Pllc","Legal Services; Coworking And Executive Suite Companies; NA; Construction, Engineering And Architecture; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Financial Services And Insurance; Technology, Advertising, Media, And Information; Tbd; Unclassifiable",42
"40 Worth St, New York, NY, 10013",40.717095,-74.0067095,261784,NA; Legal Services Of New York; Innocence Project; The Legal Aid Society; Bevmax Office Centers; Morgan Lane; NA; Acumen Fund; NA; NA; Jr Cruz Construction,NA; Legal Services; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals); Real Estate (Except Coworking Providers),11
"40-44 E 30th St, New York, NY, 10016",40.7417959,-73.9765198,31411,NA; NA; NA,NA,3
"400 Lafayette St, New York, NY, 10003",40.7282034,-73.9932263,34895,NA; Yotpo; NA,"NA; Technology, Advertising, Media, And Information",3
"400 Madison Ave, New York, NY, 10017",40.7563578,-73.976877,179625,NA; NA; NA; NA; NA; Brink's; NA; NA; NA; NA; NA; Brink's; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; D Exposito & Partners; NA; NA; Cyberrisk; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Transportation; Tbd; Technology, Advertising, Media, And Information",48
"400 Park Ave, New York, NY, 10022",40.7600281,-73.9724524,49942,NA; NA; NA; NA; NA; NA; Macklowe Properties; NA; NA,NA; Real Estate (Except Coworking Providers),9
"401 Broadway, New York, NY, 10013",40.7188095,-74.0025736,193547,NA; NA; NA; NA; NA; Artsy; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Artsy; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Urban Forum; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,"NA; Technology, Advertising, Media, And Information; Unclassifiable",75
"401 Park Ave S, New York, NY, 10016",40.7431278,-73.9839473,148100,Vitech; Spaces; Simulmedia; U.s. Coastal Service,"Technology, Advertising, Media, And Information; Coworking And Executive Suite Companies; Construction, Engineering And Architecture",4
"404-408 W 14th St, New York, NY, 10014",40.741537,-74.0067396,18509,NA; NA,NA,2
"405 Lexington Ave, New York, NY, 10174",40.7516676,-73.9755644,355968,NA; NA; NA; NA; Saba Capital; NA; NA; New Holland Capital; NA; NA; NA; Amster Rothstein & Ebenstein; NA; Spaces; NA; NA; North Peak; NA; NA; NA; Arena Investors; NA; Moses & Singer; Banque De France; High Tower Advisors; NA; NA; NA; NA,"NA; Financial Services And Insurance; Legal Services; Coworking And Executive Suite Companies; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting",29
"405-409 W 13th St, New York, NY, 10014",40.7406018,-74.0066507,30042,Engine No.1; NA; NA,Financial Services And Insurance; NA; Unclassifiable,3
"408-410 Broadway, New York, NY, 10013",40.7196695,-74.001653,67360,Wework; NA; NA; NA,Coworking And Executive Suite Companies; NA,4
"41 E 11th St, New York, NY, 10003",40.7332657,-73.9929743,44333,Alloy,"Technology, Advertising, Media, And Information",1
"41 Madison Ave, New York, NY, 10010",40.7424702,-73.9862953,290189,NA; NA; NA; Deborah Berke & Partners; NA; NA; Mphasis; NA; Polar Asset Management; NA; NA; Polar Asset Management Partners; Limekiln Real Estate Investment Management; NA; Clarick Gueron Reisbaum; NA; Zwerling Schachter & Zwerling; NA; NA; NA; Henry Luce Foundation; Axonius; Parafi Capital; Welcome Homes; NA; Urban Atelier Group,"NA; Tbd; Construction, Engineering And Architecture; Technology, Advertising, Media, And Information; Financial Services And Insurance; Real Estate (Except Coworking Providers); Legal Services; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",26
"41 Union Sq W, New York, NY, 10003",40.7370951,-73.9905663,46351,Knotel; NA; NA; NA; Back Market; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Mondo; NA; NA; NA; NA,Coworking And Executive Suite Companies; NA; Retail,24
"41 W 25th St, New York, NY, 10010",40.7439685,-73.9907888,29348,NA; NA; NA; NA; Wonder Source; NA,NA,6
"410 Park Ave, New York, NY, 10022",40.7602791,-73.9722515,180900,Jacobson Family Investments; NA; NA; NA; Vanderbilt Avenue Asset Management; NA; NA; Insigneo Securities; Yorktown Partners; CCP; Drivetrain; Neo Ivy Capital; NA; Ldr Capital; NA; NA; Tronex International; NA; NA; Glendower Capital; China Citic Bank International; Glendower Capital; NA; NA; Gl Ohrstrom & Co; NA; NA; Tripost Capital Partners,Financial Services And Insurance; NA; Healthcare,28
"410 Tenth Ave, New York, NY, 10001",42.7252526,-73.7110577,689633,NA; Hudson Yards Construction; NA; NA; First Republic Bank; Turner Construction; Amazon,"NA; Real Estate (Except Coworking Providers); Financial Services And Insurance; Construction, Engineering And Architecture; Technology, Advertising, Media, And Information",7
"411 Fifth Ave, New York, NY, 10016",40.9171099,-73.8070382,74007,NA; NA; NA; NA; NA; NA; NA; NA; NA; Natco Home Fashions; Bedshe International; NA,NA; Retail; Personal Services And Recreation,12
"412 W 15th St, New York, NY, 10011",40.7421856,-74.0064236,191183,NA; Kimmeridge Energy; NA; Tikehau Capital; Copenhagen Infrastructure Partners; Live Nation; Project Worldwide; NA; NA; Rtw Investments; Copenhagen Infrastructure Partners; Hunter Creek Advisors; NA; Project Worldwide; Bakkt Holdings; NA; NA,"NA; Financial Services And Insurance; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Technology, Advertising, Media, And Information; Tbd",17
"414 W 14th St, New York, NY, 10014",40.741201,-74.006368,14493,NA; Purrington Moody Weil,NA; Legal Services,2
"415 Madison Ave, New York, NY, 10017",40.7566642,-73.9760503,42864,NA; NA; NA; Edna Mcconnell Clark Foundation,NA; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals),4
"416 W 13th St, New York, NY, 10014",40.7403618,-74.0072336,11824,NA; NA; NA; NA; NA,NA,5
"417 Fifth Ave, New York, NY, 10016",40.9172165,-73.806845,46057,NA,NA,1
"419 Lafayette St, New York, NY, 10003",40.7286148,-73.9919936,58000,NA; M13; Barking Labs; Creatd; NA; NA,"NA; Financial Services And Insurance; Technology, Advertising, Media, And Information",6
"419 Park Ave S, New York, NY, 10016",40.7437261,-73.9835592,89292,NA; Wework; EZRA AI; NA; Aspen Llc,NA; Coworking And Executive Suite Companies; Healthcare,5
"42 Broadway, New York, NY, 10004",40.7059872,-74.0125863,35834,NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,NA,11
"42 W 38th St, New York, NY, 10018",40.7516918,-73.9847095,3096,NA; NA,NA,2
"42 W 39th St, New York, NY, 10018",40.7523783,-73.9844068,103441,Bravo; NA; NA; NA; NA; As Beauty; NA; NA; Neiman Marcus Group; NA; NA; Jovani Fashions,"Construction, Engineering And Architecture; NA; Retail",12
"42 W 48th St, New York, NY, 10036",40.7578935,-73.9801609,3500,NA; Amipi,NA,2
"42-44 Greene St, New York, NY, 10013",40.7204611,-74.0032256,13985,NA; NA; NA,NA,3
"420 Fifth Ave, New York, NY, 10018",42.7110204,-73.709829,139481,Kcsa Strategic Communications; Luxottica Group; Fantas Eyes; NA; NA; NA; Urban Home Ownership Corp,"Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Healthcare; Retail; Tbd; NA; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",7
"420 Lexington Ave, New York, NY, 10170",40.7526851,-73.9758606,765629,"NA; NA; NA; NA; NA; NA; NA; NA; Metro-North Commuter Railroad; NA; NA; NA; NA; NA; NA; NA; NA; NA; The Leverage Agency; NA; NA; NA; NA; NA; NA; Barnes Firm Injury Attorneys; NA; Wingate, Russotti, Shapiro & Halperin; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Fusion; NA; NA; NA; NA; NA; Mccue Sussmane; NA; NA; NA; NA; NA; NA; NA; NA; Grand Central Office Suites; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Wingate Russotti; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; Walker & Dunlop; Kennedy-Wilson Property Services; NA; NA; NA; NA; NA; NA; Cohen, Tauber, Spievack & Wagner; Midnight Management; NA; NA; NA; NA; NA; NA; Curaleaf; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA; IQPC; NA; NA; NA; NA; NA; Concern Worldwide","NA; Government; Legal Services; Education; Coworking And Executive Suite Companies; Financial Services And Insurance; Real Estate (Except Coworking Providers); Pharmaceuticals; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",185
"420 Madison Ave, New York, NY, 10017",40.7570104,-73.9765414,10309,Athens College; NA; NA; NA; NA; NA; NA; NA,Personal Services And Recreation; NA,8
"425 Lexington Ave, New York, NY, 10017",40.7522694,-73.9749665,192041,Ally Financial; Shizuoka Bank; NA; Simpson Thacher & Bartlett; Simpson Thacher & Bartlett,Financial Services And Insurance; NA; Legal Services,5
"425 Madison Ave, New York, NY, 10017",40.7569369,-73.9760656,13600,NA; NA; NA; NA; NA,NA,5
"425 Park Ave, New York, NY, 10022",40.7604714,-73.9710159,391007,Citadel; Hellman & Friedman; GTCR; Medical Properties Trust; Gtcr Golder Rauner; Citadel Enterprise Americas; NA; Daikin; Wafra Capital Partners; NA; Gtcr Golder Rauner; Maverick Capital; NA,"Financial Services And Insurance; Real Estate (Except Coworking Providers); NA; Manufacturing (Except Pharmaceutical, Retail, And Computer Tech); Unclassifiable",13
"43 W 24th St, New York, NY, 10010",40.7433762,-73.9912946,61050,Knotel; NA; NA; NA; NA; NA; NA; NA; NA; NA; NA,Coworking And Executive Suite Companies; NA,11
"43-45 E 53rd St, New York, NY, 10022",40.7562621,-73.9659696,5560,Acres Capital,Financial Services And Insurance,1
"43-51 W 36th St, New York, NY, 10018",40.7518667,-73.9886803,52600,NA; NA; NA; NA; NA,NA,5
"430 E 29th St, New York, NY, 10016",40.7396779,-73.9737622,73528,Black Diamond Therapeutics; Immunai; Eikon Therapeutics; NA,Pharmaceuticals; NA,4
"430 Park Ave, New York, NY, 10022",40.7607213,-73.9717065,250307,NA; H C Wainwright Co; NA; NA; NA; NA; NA; NA; NA; Wework; Fs Fiduciary Services; NA; NA; Sk Capital Partners; NA; NA; NA; ZCG; NA,"NA; Financial Services And Insurance; Coworking And Executive Suite Companies; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Unclassifiable",19
"432 Park Ave S, New York, NY, 10016",40.7442156,-73.9836536,68600,NA; NA; Pumpkin Insurance Services; NA; NA; NA; NA,"NA; Financial Services And Insurance; Technology, Advertising, Media, And Information",7
"434 Broadway, New York, NY, 10013",40.7199913,-74.0012084,14640,Modern Post,"Technology, Advertising, Media, And Information",1
"435 Hudson St, New York, NY, 10014",40.7305065,-74.007192,83738,NA; ACI VI; Adidas; The Row,"NA; Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Retail",4
"437 Fifth Ave, New York, NY, 10016",40.9179721,-73.806415,24340,NA; NA; NA,NA,3
"437 Madison Ave, New York, NY, 10022",40.7574405,-73.9750463,952145,Cambridge Associates; Mitchell Silberberg & Knupp; Wells Fargo; Citizens Bank; NA; NA; Rockefeller Capital Management; Banco Santander; NA; NA; NA; Acquiline Capital; NA; NA; Act Commodities; Landmark Partners; NA; NA; NA; NA; NA; Warner Brothers Entertainment; NA; NA; SCSK USA; NA; Santander; NA; Munich American Reassurance; NA; Wework; NA; NA; Novacap Management Us; Harbor Spring Capital; NA; NA; NA; NA; Armanino; NA; NA; NA; NA; NA; J O Hambro Capital Management; NA; NA; NA; NA,"Business, Professional, And Consulting Services (Except Financial And Legal) - Including Accounting; Legal Services; Financial Services And Insurance; NA; Technology, Advertising, Media, And Information; Coworking And Executive Suite Companies; Unclassifiable",50
"437 W 16th St, New York, NY, 10011",40.7431523,-74.0059271,10778,NA; NA,NA,2
"44 E 32nd St, New York, NY, 10016",40.7458638,-73.9829146,21687,Strive Wellness; NA; NA,Healthcare; NA,3
"44 W 18th St, New York, NY, 10011",40.7392151,-73.9942981,49875,Dashlane; Amperity; Dashlane,"Technology, Advertising, Media, And Information",3
"44 W 37th St, New York, NY, 10018",40.7510379,-73.9853906,37761,NA; NA; NA; NA; NA; Silver One International; NA; NA; NA; NA,NA; Retail,10
"44 Wall St, New York, NY, 10005",40.706794,-74.0093855,243828,NA; NA; NA; NA; NA; NA; Contently; NA; Wework; SMCP; NA; Webull Financial; NA; Giant Spoon; NA; NA; Joan Creative; Jobdiva; Robert Elliot Leslie Architecture; T-Rex; Cities For Financial Empowerment Fund; Govexec; Street Smarts Vr; NA; NA; NA; NA; NA; NA; NA; Codi,"NA; Technology, Advertising, Media, And Information; Coworking And Executive Suite Companies; Retail; Financial Services And Insurance; Construction, Engineering And Architecture; Education; Associations And Non-Profit Organizations (Except Education And Non-Profit Hospitals)",31
"44-50 W 28th St, New York, NY, 10001",40.7513781,-74.0031888,203080,Butterflymx; NA; NA; J.T. MAGEN &; Air Call; NA; NA; Wework; Candid Care; NA,"Technology, Advertising, Media, And Information; NA; Construction, Engineering And Architecture; Coworking And Executive Suite Companies; Healthcare; Tbd",10
"440 Lafayette St, New York, NY, 10003",40.7294995,-73.9919942,15180,Materialize,"Technology, Advertising, Media, And Information",1
"440 Ninth Ave, New York, NY, 10001",40.9162237,-73.803261,174701,SGS; Epic Games; B&H Photo Video,"Technology, Advertising, Media, And Information; Retail",3
"440 Park Ave S, New York, NY, 10016",40.744405,-73.983524,76820,NA; Material Holdings; Material Holdings; NA; Smartly; NA; Innovant; Signal Ai,"NA; Technology, Advertising, Media, And Information; Retail",8
